,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
618,0.060598,0.00621,0.5,-2.0,0.2,0.75,0.013397,0.013397,0.973206,0.989952,0.989952,1.019803,64,-0.0140977633162662,-0.0015133553118565,0.0,True,False,True,False
619,0.060598,0.00621,0.5,-2.0,0.2,1.0,0.013373,0.013373,0.973254,0.986627,0.986627,1.019755,64,-0.0141143778194916,-0.0015057520992367,0.0,True,False,True,False
620,0.060598,0.00621,0.5,-2.0,0.4,0.0,0.013142,0.013142,0.973716,1.0,1.0,1.01961,64,-0.0148575534141854,-0.0015010758417623,0.0,True,False,True,False
621,0.060598,0.00621,0.5,-2.0,0.4,0.25,0.01312,0.01312,0.973761,0.99672,0.99672,1.019564,64,-0.0148698701379957,-0.001493815908604,0.0,True,False,True,False
622,0.060598,0.00621,0.5,-2.0,0.4,0.5,0.013097,0.013097,0.973806,0.993452,0.993452,1.019518,64,-0.0148823142997486,-0.0014864798269946,0.0,True,False,True,False
623,0.060598,0.00621,0.5,-2.0,0.4,0.75,0.013074,0.013074,0.973851,0.990194,0.990194,1.019473,64,-0.0148946940395803,-0.0014791726908288,0.0,True,False,True,False
624,0.060598,0.00621,0.5,-2.0,0.4,1.0,0.013052,0.013052,0.973896,0.986948,0.986948,1.019428,64,-0.0149068397944092,-0.001472007146057,0.0,True,False,True,False
625,0.060598,0.00621,0.5,-2.0,0.6,0.0,0.012829,0.012829,0.974341,1.0,1.0,1.019287,64,-0.0156312790760129,-0.0014671969605691,0.0,True,False,True,False
626,0.060598,0.00621,0.5,-2.0,0.6,0.25,0.012808,0.012808,0.974383,0.996798,0.996798,1.019244,64,-0.0156396421097506,-0.001460260611763,0.0,True,False,True,False
627,0.060598,0.00621,0.5,-2.0,0.6,0.5,0.012787,0.012787,0.974425,0.993606,0.993606,1.019201,64,-0.0156479725148177,-0.0014533527777814,0.0,True,False,True,False
628,0.060598,0.00621,0.5,-2.0,0.6,0.75,0.012766,0.012766,0.974467,0.990425,0.990425,1.019158,64,-0.0156562688148765,-0.0014464748563758,0.0,True,False,True,False
629,0.060598,0.00621,0.5,-2.0,0.6,1.0,0.012745,0.012745,0.974509,0.987255,0.987255,1.019115,64,-0.0156645310989252,-0.0014396267780692,0.0,True,False,True,False
630,0.060598,0.00621,0.5,-2.0,0.8,0.0,0.012531,0.012531,0.974939,1.0,1.0,1.018978,64,-0.0163706590563964,-0.001434860491363,0.0,True,False,True,False
631,0.060598,0.00621,0.5,-2.0,0.8,0.25,0.012511,0.012511,0.974978,0.996872,0.996872,1.018937,64,-0.0163754102406196,-0.0014282342982512,0.0,True,False,True,False
632,0.060598,0.00621,0.5,-2.0,0.8,0.5,0.012491,0.012491,0.975018,0.993754,0.993754,1.018897,64,-0.0163801275451546,-0.0014216339844458,0.0,True,False,True,False
633,0.060598,0.00621,0.5,-2.0,0.8,0.75,0.012472,0.012472,0.975057,0.990646,0.990646,1.018857,64,-0.0163847529895493,-0.0014151700301316,0.0,True,False,True,False
