,Unnamed: 0,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,C_D,difference,x_pos_invades,x_neg_invades,y_pos_invades,y_neg_invades
81,81,0.0,0.158655,0.0,-1.0,-2.0,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.22603782487257296,-0.0,0.0,False,False,False,False
82,82,0.0,0.158655,0.0,-1.0,-2.0,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2272612628586884,-0.0,0.0,False,False,True,False
83,83,0.0,0.158655,0.0,-1.0,-2.0,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.2283376350703397,-0.0,0.0,False,False,True,False
84,84,0.0,0.158655,0.0,-1.0,-2.0,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2292655623040908,-0.0,0.0,False,False,True,False
85,85,0.0,0.158655,0.0,-1.0,-1.8,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.2372885875028861,-0.0,0.0,False,False,True,True
86,86,0.0,0.158655,0.0,-1.0,-1.8,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2381275724053533,-0.0,0.0,False,False,False,False
87,87,0.0,0.158655,0.0,-1.0,-1.8,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2388234560488877,-0.0,0.0,False,False,True,True
88,88,0.0,0.158655,0.0,-1.0,-1.8,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.2393732534917977,-0.0,0.0,False,False,True,True
89,89,0.0,0.158655,0.0,-1.0,-1.8,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2397766846325804,-0.0,0.0,False,False,True,True
90,90,0.0,0.158655,0.0,-1.0,-1.6,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.24990570901834355,-0.0,0.0,False,False,True,True
91,91,0.0,0.158655,0.0,-1.0,-1.6,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2502173199381337,-0.0,0.0,False,False,False,False
92,92,0.0,0.158655,0.0,-1.0,-1.6,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2503856492390871,-0.0,0.0,False,False,True,True
93,93,0.0,0.158655,0.0,-1.0,-1.6,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.2504088719132557,-0.0,0.0,False,False,True,True
94,94,0.0,0.158655,0.0,-1.0,-1.6,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2502878069610701,-0.0,0.0,False,False,True,True
95,95,0.0,0.158655,0.0,-1.0,-1.4,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.26252283053380104,-0.0,0.0,False,False,True,True
96,96,0.0,0.158655,0.0,-1.0,-1.4,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2623070674709141,-0.0,0.0,False,False,False,False
97,97,0.0,0.158655,0.0,-1.0,-1.4,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2619478424292865,-0.0,0.0,False,False,True,True
98,98,0.0,0.158655,0.0,-1.0,-1.4,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.2614444903347136,-0.0,0.0,False,False,True,True
99,99,0.0,0.158655,0.0,-1.0,-1.4,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2607989292895598,-0.0,0.0,False,False,True,True
100,100,0.0,0.158655,0.0,-1.0,-1.2,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.27513995204925845,-0.0,0.0,False,False,True,True
101,101,0.0,0.158655,0.0,-1.0,-1.2,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2743968150036945,-0.0,0.0,False,False,False,False
102,102,0.0,0.158655,0.0,-1.0,-1.2,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.27351003561948584,-0.0,0.0,False,False,True,True
103,103,0.0,0.158655,0.0,-1.0,-1.2,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.2724801087561716,-0.0,0.0,False,False,True,True
